Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs
18,antesdevenir,5.0,1.0,3.0,3.0,-1.115684750328215,0.6154463207349181,0.6004409790039062,0.015005341731011868,0.3845537006855011,32,32,10,2,10,23
19,antesdevenir,5.0,1.0,1.0,1.0,1.1066770869135194,0.22441907227039337,0.11353425681591034,0.11088481545448303,0.7755810022354126,27,40,7,11,6,15
20,antesdevenir,4.0,0.0,0.0,4.0,-0.48553561404059914,0.8253481318242848,0.006792121101170778,0.818556010723114,0.1746518462896347,32,45,5,0,7,18
21,antesdevenir,5.0,-1.0,-4.0,4.0,0.18397471126287848,0.16788193583488464,0.1335144191980362,0.03436751663684845,0.832118034362793,42,46,14,7,5,28
22,antesdevenir,5.0,-1.0,-5.0,5.0,-0.29040660220197534,0.8854250572621822,0.8803549408912659,0.005070116370916367,0.11457490921020508,97,78,34,10,19,57
23,antesdevenir,3.0,0.0,0.0,3.0,-1.394438105884124,0.802711776457727,0.008255532942712307,0.7944562435150146,0.1972881555557251,15,22,4,1,0,13
24,antesdevenir,5.0,1.0,5.0,5.0,-1.0004461961997897,0.8890295727178454,0.005409072153270245,0.8836205005645752,0.11097037047147751,33,26,11,4,2,18
25,antesdevenir,5.0,1.0,2.0,2.0,-0.7810218689184989,0.20369628816843033,0.15017451345920563,0.0535217747092247,0.7963036894798279,37,32,5,3,1,16
26,antesdevenir,5.0,0.0,0.0,3.0,-1.215262312298383,0.35041580349206924,0.2504834532737732,0.09993235021829605,0.6495842933654785,22,27,10,2,4,14
27,antesdevenir,5.0,1.0,3.0,3.0,0.5786913866044946,0.23885296657681465,0.052414242178201675,0.18643872439861298,0.7611470222473145,46,45,10,9,15,30
28,antesdevenir,4.0,0.0,0.0,3.0,-1.3757192960944864,0.5993202663958073,0.011895153671503067,0.5874251127243042,0.4006797969341278,26,36,5,7,4,23
29,antesdevenir,5.0,0.0,0.0,3.0,-0.874272819487482,0.6222310028970242,0.04868012294173241,0.5735508799552917,0.37776902318000793,26,23,8,0,2,2
30,antesdevenir,5.0,0.0,0.0,3.0,-0.778834431763461,0.2033306062221527,0.0741427093744278,0.12918789684772491,0.7966693639755249,18,20,7,4,7,26
